,Algorithm,Dataset,alpha,Coverage,Length
263,cox_cc_alg_1,rr_nl_nph,0.8,0.8017,13.986546544789912
264,cox_cc_alg_1,rr_nl_nph,0.8,0.7634000000000001,13.345626544789916
265,cox_cc_alg_1,rr_nl_nph,0.8,0.7918999999999998,13.250836544789916
266,cox_cc_alg_1,rr_nl_nph,0.8,0.7791000000000001,14.963446544789912
267,cox_cc_alg_1,rr_nl_nph,0.8,0.7559999999999999,15.139326544789917
268,cox_cc_alg_1,rr_nl_nph,0.8,0.8048000000000001,15.174176544789914
269,cox_cc_alg_1,rr_nl_nph,0.8,0.7369,14.534896544789914
270,cox_cc_alg_2,rr_nl_nph,0.8,0.8307000000000001,16.397914205367105
271,cox_cc_alg_2,rr_nl_nph,0.8,0.8466,18.6887334318902
272,cox_cc_alg_2,rr_nl_nph,0.8,0.8314000000000001,17.478880424892235
273,cox_cc_alg_2,rr_nl_nph,0.8,0.8532000000000001,17.669097933038678
274,cox_cc_alg_2,rr_nl_nph,0.8,0.8588000000000001,17.857080683918056
275,cox_cc_alg_2,rr_nl_nph,0.8,0.8676,17.484648699775654
276,cox_cc_alg_2,rr_nl_nph,0.8,0.8254000000000002,18.397749376123162
277,cox_cc_alg_2,rr_nl_nph,0.8,0.8123999999999999,17.498066422522545
278,cox_cc_alg_2,rr_nl_nph,0.8,0.8728,19.096918953798312
279,cox_cc_alg_2,rr_nl_nph,0.8,0.8018000000000001,18.06968730429592
280,cox_ph_alg_1,metabric,0.8,0.9447916666666667,299.57580208333326
281,cox_ph_alg_1,metabric,0.8,0.9152083333333335,285.1433089001974
282,cox_ph_alg_1,metabric,0.8,0.8844791666666666,289.41370470555626
283,cox_ph_alg_1,metabric,0.8,0.9725000000000001,302.64508053716025
284,cox_ph_alg_1,metabric,0.8,0.9114583333333334,283.2678923784892
285,cox_ph_alg_1,metabric,0.8,0.9344791666666667,297.9986041666666
286,cox_ph_alg_1,metabric,0.8,0.9357291666666668,298.66976788075766
287,cox_ph_alg_1,metabric,0.8,0.8895833333333334,272.2389791666666
288,cox_ph_alg_1,metabric,0.8,0.9121875,292.89734063975015
289,cox_ph_alg_1,metabric,0.8,0.928125,295.7936532452901
290,cox_ph_alg_2,metabric,0.8,0.9539583333333335,
291,cox_ph_alg_2,metabric,0.8,0.9415625,
292,cox_ph_alg_2,metabric,0.8,0.9290625,
293,cox_ph_alg_2,metabric,0.8,0.9736458333333333,
294,cox_ph_alg_2,metabric,0.8,0.9686458333333334,
295,cox_ph_alg_2,metabric,0.8,0.976875,
296,cox_ph_alg_2,metabric,0.8,0.9588541666666668,
297,cox_ph_alg_2,metabric,0.8,0.94375,
298,cox_ph_alg_2,metabric,0.8,0.9588541666666668,
299,cox_ph_alg_2,metabric,0.8,0.9234375,
300,cox_cc_alg_1,metabric,0.8,0.9116666666666666,289.7410729166666
301,cox_cc_alg_1,metabric,0.8,0.9180208333333334,286.13744424692794
302,cox_cc_alg_1,metabric,0.8,0.8786458333333332,288.134662853241
303,cox_cc_alg_1,metabric,0.8,0.9619791666666666,300.126768169403
304,cox_cc_alg_1,metabric,0.8,0.9424999999999999,289.5229444211324
305,cox_cc_alg_1,metabric,0.8,0.9147916666666666,294.5316145833333
306,cox_cc_alg_1,metabric,0.8,0.9364583333333334,298.241924088796
307,cox_cc_alg_1,metabric,0.8,0.9004166666666666,277.9398854166666
308,cox_cc_alg_1,metabric,0.8,0.8923958333333334,284.80190295282995
309,cox_cc_alg_1,metabric,0.8,0.9382291666666666,297.1359344698588
310,cox_cc_alg_2,metabric,0.8,0.9316666666666666,299.2457822802762
311,cox_cc_alg_2,metabric,0.8,0.9452083333333333,300.2773128124475
312,cox_cc_alg_2,metabric,0.8,0.9328124999999999,305.9158372338116
313,cox_cc_alg_2,metabric,0.8,0.9682291666666666,302.5745218612353
314,cox_cc_alg_2,metabric,0.8,0.9805208333333333,313.5790041465362
315,cox_cc_alg_2,metabric,0.8,0.9698958333333333,317.3301332193812
316,cox_cc_alg_2,metabric,0.8,0.9595833333333333,312.94552174049613
317,cox_cc_alg_2,metabric,0.8,0.950625,310.3734478521546
318,cox_cc_alg_2,metabric,0.8,0.9412500000000001,309.84050765861076
319,cox_cc_alg_2,metabric,0.8,0.9344791666666666,300.9281397271752
320,cox_ph_alg_1,support,0.8,0.9248999999999999,1810.0610099999997
321,cox_ph_alg_1,support,0.8,0.9601999999999999,1854.47872
322,cox_ph_alg_1,support,0.8,0.9329999999999998,1774.3108
323,cox_ph_alg_1,support,0.8,0.9436000000000001,1828.8575099999998
324,cox_ph_alg_1,support,0.8,0.9375,1807.1608099999999
325,cox_ph_alg_1,support,0.8,0.9486999999999999,1774.82148
326,cox_ph_alg_1,support,0.8,0.9348000000000001,1811.45465
327,cox_ph_alg_1,support,0.8,0.9500000000000002,1825.0822300000002
328,cox_ph_alg_1,support,0.8,0.9422,1813.75335
329,cox_ph_alg_1,support,0.8,0.9191000000000001,1749.1506299999999
330,cox_ph_alg_2,support,0.8,0.9612,1890.0886
331,cox_ph_alg_2,support,0.8,0.9754,1912.5291
332,cox_ph_alg_2,support,0.8,0.9598,1877.4516700000001
333,cox_ph_alg_2,support,0.8,0.9708,1904.4345
334,cox_ph_alg_2,support,0.8,0.9736000000000001,1891.3627200000003
335,cox_ph_alg_2,support,0.8,0.975,1892.5040099999999
336,cox_ph_alg_2,support,0.8,0.9710000000000001,1940.48495
337,cox_ph_alg_2,support,0.8,0.9788000000000001,1907.7700500000003
338,cox_ph_alg_2,support,0.8,0.9752000000000001,1902.4611300000001
339,cox_ph_alg_2,support,0.8,0.9562999999999999,1848.6815500000002
340,cox_cc_alg_1,support,0.8,0.9455999999999999,1843.31438
341,cox_cc_alg_1,support,0.8,0.9520000000000001,1837.42877
342,cox_cc_alg_1,support,0.8,0.9224000000000001,1752.05331
343,cox_cc_alg_1,support,0.8,0.9617,1858.06987
344,cox_cc_alg_1,support,0.8,0.9521000000000002,1833.7663100000002
345,cox_cc_alg_1,support,0.8,0.9334999999999998,1749.70742
346,cox_cc_alg_1,support,0.8,0.9388,1820.52681
347,cox_cc_alg_1,support,0.8,0.9631000000000001,1841.27853
348,cox_cc_alg_1,support,0.8,0.9641999999999998,1856.88742
349,cox_cc_alg_1,support,0.8,0.9156,1752.4507300000002
350,cox_cc_alg_2,support,0.8,0.9728,1921.0582499999998
351,cox_cc_alg_2,support,0.8,0.9690000000000002,1884.9548800000002
352,cox_cc_alg_2,support,0.8,0.9583000000000002,1857.6789899999997
353,cox_cc_alg_2,support,0.8,0.9766999999999999,1931.40177
354,cox_cc_alg_2,support,0.8,0.9785,1912.49848
355,cox_cc_alg_2,support,0.8,0.972,1873.37431
356,cox_cc_alg_2,support,0.8,0.975,1953.9293099999998
